,日期,小时,温度(C°),湿度(%),降雨量(mm),大气压(hPa),风向,风向角度(°),风速(KM/H),云量(%)
CN101190801,2013/8/3,0,28,88,1,1006,东南风,159,9,71
CN101190801,2013/8/3,1,28,88,0.9,1006,东南风,155,8,75
CN101190801,2013/8/3,2,28,89,0.7,1006,东南风,150,8,54
CN101190801,2013/8/3,3,27,90,0.5,1006,东南风,151,8,25
CN101190801,2013/8/3,4,27,90,0.2,1006,东南风,151,8,35
CN101190801,2013/8/3,5,26,91,0,1006,东南风,151,8,51
CN101190801,2013/8/3,6,27,88,0,1006,东南风,145,6,67
CN101190801,2013/8/3,7,28,84,0,1006,东南风,138,5,57
CN101190801,2013/8/3,8,29,81,0,1007,东南风,132,3,26
CN101190801,2013/8/3,9,31,76,1,1007,东南风,155,3,58
CN101190801,2013/8/3,10,32,71,2,1007,南风,178,3,64
CN101190801,2013/8/3,11,33,66,3,1007,西南风,201,2,67
CN101190801,2013/8/3,12,33,66,2.5,1006,东南风,154,3,75
CN101190801,2013/8/3,13,33,66,1.9,1006,东南风,108,4,98
CN101190801,2013/8/3,14,33,65,1.4,1006,东北风,61,5,99
CN101190801,2013/8/3,15,32,67,0.9,1005,东风,84,5,99
CN101190801,2013/8/3,16,32,69,0.5,1005,东南风,108,6,93
CN101190801,2013/8/3,17,32,71,0,1005,东南风,131,6,91
CN101190801,2013/8/3,18,31,72,0,1005,东南风,143,7,89
CN101190801,2013/8/3,19,30,73,0,1005,东南风,156,8,80
CN101190801,2013/8/3,20,30,74,0,1005,东南风,168,9,43
CN101190801,2013/8/3,21,29,77,0.3,1005,南风,181,9,44
CN101190801,2013/8/3,22,29,79,0.6,1005,西南风,193,10,63
CN101190801,2013/8/3,23,28,82,0.9,1005,西南风,206,10,87
CN101190801,2013/8/4,0,28,84,0.6,1005,西南风,208,10,98
CN101190801,2013/8/4,1,28,86,0.3,1005,西南风,210,11,99
CN101190801,2013/8/4,2,27,88,0,1005,西南风,212,11,99
CN101190801,2013/8/4,3,27,90,1.4,1005,西南风,211,10,96
CN101190801,2013/8/4,4,27,91,2.8,1005,西南风,210,10,98
CN101190801,2013/8/4,5,26,92,4.2,1005,西南风,208,9,99
CN101190801,2013/8/4,6,26,91,3.7,1005,西南风,210,11,99
CN101190801,2013/8/4,7,27,90,3.3,1005,西南风,212,13,100
CN101190801,2013/8/4,8,27,89,2.8,1005,西南风,213,15,90
CN101190801,2013/8/4,9,28,87,3.9,1005,西南风,216,17,57
CN101190801,2013/8/4,10,29,84,4.9,1005,西南风,219,18,48
CN101190801,2013/8/4,11,30,81,6,1005,西南风,222,19,35
CN101190801,2013/8/4,12,30,78,4.6,1004,西南风,220,20,3
CN101190801,2013/8/4,13,31,74,3.1,1003,西南风,218,20,0
CN101190801,2013/8/4,14,31,71,1.7,1003,西南风,216,21,1
CN101190801,2013/8/4,15,31,72,1.2,1003,西南风,212,19,5
CN101190801,2013/8/4,16,30,74,0.8,1003,西南风,208,18,0
CN101190801,2013/8/4,17,30,75,0.3,1002,西南风,203,17,0
CN101190801,2013/8/4,18,29,78,0.2,1002,西南风,198,15,0
CN101190801,2013/8/4,19,29,80,0.1,1002,西南风,194,14,0
CN101190801,2013/8/4,20,28,83,0,1002,南风,189,12,0
CN101190801,2013/8/4,21,28,85,0,1002,南风,187,12,0
CN101190801,2013/8/4,22,27,87,0,1002,南风,186,12,0
CN101190801,2013/8/4,23,27,88,0,1002,南风,184,12,0
CN101190801,2013/8/5,0,27,89,0,1002,南风,188,11,0
CN101190801,2013/8/5,1,26,90,0,1001,西南风,191,11,0
CN101190801,2013/8/5,2,26,91,0,1001,西南风,195,11,0
CN101190801,2013/8/5,3,26,92,0,1001,西南风,194,11,0
CN101190801,2013/8/5,4,26,92,0,1001,西南风,194,11,0
CN101190801,2013/8/5,5,26,92,0,1001,西南风,194,11,2
CN101190801,2013/8/5,6,27,87,0,1001,西南风,195,13,7
CN101190801,2013/8/5,7,28,82,0,1001,西南风,197,14,6
CN101190801,2013/8/5,8,29,77,0,1000,西南风,198,16,12
CN101190801,2013/8/5,9,31,69,0,1000,西南风,206,17,15
CN101190801,2013/8/5,10,32,62,0,1000,西南风,214,19,6
CN101190801,2013/8/5,11,34,55,0,1000,西南风,222,20,13
CN101190801,2013/8/5,12,35,53,0,1000,西南风,221,19,18
CN101190801,2013/8/5,13,35,51,0,999,西南风,221,19,15
CN101190801,2013/8/5,14,36,49,0,999,西南风,220,19,27
CN101190801,2013/8/5,15,36,52,0,998,西南风,216,17,27
CN101190801,2013/8/5,16,36,54,0,998,西南风,211,14,18
CN101190801,2013/8/5,17,35,57,0,998,西南风,206,12,13
CN101190801,2013/8/5,18,34,61,0,998,西南风,199,12,5
CN101190801,2013/8/5,19,32,64,0,998,西南风,192,12,2
CN101190801,2013/8/5,20,31,68,0,999,南风,185,11,10
CN101190801,2013/8/5,21,31,69,0,999,南风,188,11,18
CN101190801,2013/8/5,22,30,69,0,999,南风,191,11,23
CN101190801,2013/8/5,23,30,70,0,999,西南风,194,11,27
CN101190801,2013/8/6,0,29,71,0,999,南风,188,10,26
CN101190801,2013/8/6,1,29,72,0,999,南风,183,9,11
CN101190801,2013/8/6,2,28,73,0,1000,南风,177,8,9
CN101190801,2013/8/6,3,27,78,1,1000,南风,178,9,9
CN101190801,2013/8/6,4,27,83,2,1000,南风,179,9,6
CN101190801,2013/8/6,5,26,88,3,1000,南风,179,10,1
CN101190801,2013/8/6,6,27,85,2.1,1001,南风,179,11,5
CN101190801,2013/8/6,7,29,81,1.1,1001,南风,179,12,18
CN101190801,2013/8/6,8,30,78,0.2,1001,南风,179,13,23
CN101190801,2013/8/6,9,32,68,0.1,1002,南风,190,15,12
CN101190801,2013/8/6,10,34,58,0.1,1002,西南风,202,17,3
CN101190801,2013/8/6,11,36,49,0,1002,西南风,213,18,5
CN101190801,2013/8/6,12,37,47,0,1001,西南风,212,18,4
CN101190801,2013/8/6,13,37,45,0,1001,西南风,211,19,9
CN101190801,2013/8/6,14,38,43,0,1000,西南风,210,19,4
CN101190801,2013/8/6,15,37,47,0,1000,西南风,207,17,1
CN101190801,2013/8/6,16,37,50,0.1,1000,西南风,205,15,0
CN101190801,2013/8/6,17,37,53,0.1,1000,西南风,202,13,0
CN101190801,2013/8/6,18,35,58,0.2,1000,西南风,196,12,0
CN101190801,2013/8/6,19,33,62,0.2,1001,南风,190,10,0
