total,socket,light,air
8.73828125,0.86328125,1.0625,6.8125
4.30859375,0.65234375,0.5,3.15625
4.41015625,0.60546875,0.5234375,3.28125
4.05078125,0.58203125,0.28125,3.1875
4.0390625,0.5390625,0.28125,3.21875
4.3515625,0.8671875,0.328125,3.15625
4.46875,1.109375,0.296875,3.0625
5.5703125,1.21875,0.8515625,3.5
6.890625,1.4609375,1.3359375,4.09375
33.5703125,4.1171875,4.296875,25.15625
45.015625,3.2109375,9.2421875,32.5625
80.79296875,3.36328125,23.9921875,53.4375
73.01953125,3.13671875,16.1328125,53.75
51.44921875,3.25390625,5.3828125,42.8125
55.51953125,3.27734375,5.2421875,47.0
54.9296875,3.578125,5.5703125,45.78125
53.8125,3.5078125,5.9609375,44.34375
55.5859375,2.921875,6.1015625,46.5625
28.10546875,2.04296875,5.4375,20.625
15.15234375,1.65234375,4.4375,9.0625
9.06640625,1.41796875,3.1484375,4.5
6.1484375,1.15625,1.6796875,3.3125
11.01171875,0.97265625,5.0390625,5.0
22.0625,0.890625,5.421875,15.75
10.83984375,0.85546875,1.171875,8.8125
4.2421875,0.65625,0.4609375,3.125
4.53515625,0.76953125,0.703125,3.0625
4.45703125,0.56640625,0.765625,3.125
4.4375,0.734375,0.640625,3.0625
4.61328125,0.81640625,0.671875,3.125
4.765625,1.203125,0.4375,3.125
5.3671875,0.984375,0.6953125,3.6875
7.8515625,1.2109375,0.953125,5.6875
36.12109375,3.53515625,4.7421875,27.84375
53.62890625,3.44140625,15.53125,34.65625
67.50390625,3.67578125,15.078125,48.75
73.30859375,3.54296875,14.984375,54.78125
52.50390625,3.22265625,6.1875,43.09375
62.4296875,3.2421875,10.0,49.1875
57.28125,3.265625,10.578125,43.4375
54.00390625,3.28515625,7.96875,42.75
66.46484375,2.91796875,6.453125,57.09375
34.20703125,1.70703125,5.34375,27.15625
16.9921875,1.5234375,3.84375,11.625
15.359375,1.4375,2.984375,10.9375
12.421875,1.2265625,1.5078125,9.6875
10.1875,1.1328125,1.2421875,7.8125
14.45703125,0.98046875,1.9765625,11.5
14.2578125,0.9609375,1.484375,11.8125
5.08984375,0.69140625,0.8984375,3.5
5.0078125,0.8046875,0.703125,3.5
4.6015625,0.5390625,0.71875,3.34375
4.8203125,0.5859375,0.703125,3.53125
11.66796875,0.99609375,0.859375,9.8125
5.00390625,1.08984375,0.5703125,3.34375
6.09375,1.1796875,0.8828125,4.03125
10.9765625,1.46875,1.6328125,7.875
45.6875,3.90625,4.78125,37.0
71.39453125,3.73828125,19.1875,48.46875
92.33984375,4.12890625,19.8984375,68.3125
86.23828125,4.39453125,15.4375,66.40625
65.23828125,4.83984375,7.3671875,53.03125
65.1484375,4.4453125,7.359375,53.34375
65.8515625,4.65625,8.8515625,52.34375
